instance_id,steps,optLevel,foundSolution,compTime
5,10,0,true,6.995
5,10,1,true,6.291
5,10,2,true,7.216
5,10,3,true,7.716
8,15,0,false,254.121
8,15,1,false,7.914
8,15,2,false,10.357
8,15,3,false,10.778
7,15,0,true,71.030
7,15,1,true,7.161
7,15,2,true,8.299
7,15,3,true,9.963
9,17,0,true,1020.559
9,17,1,true,11.977
9,17,2,true,13.544
9,17,3,true,497.389
7,14,0,false,38.033
7,14,1,false,6.295
7,14,2,false,7.169
7,14,3,false,9.877
3,5,0,false,3.543
3,5,1,false,4.029
3,5,2,false,4.078
3,5,3,false,4.773
9,16,0,false,424.163
9,16,1,false,7.636
9,16,2,false,10.746
9,16,3,false,216.409
3,6,0,true,3.762
3,6,1,true,4.627
3,6,2,true,4.850
3,6,3,true,6.694
8,16,0,true,564.634
8,16,1,true,9.655
8,16,2,true,11.478
8,16,3,true,292.619
1,1,0,true,2.154
1,1,1,true,2.067
1,1,2,true,2.089
1,1,3,true,2.439
2,3,0,true,3.097
2,3,1,true,3.336
2,3,2,true,3.335
2,3,3,true,3.528
6,12,0,true,8.062
6,12,1,true,6.890
6,12,2,true,8.590
6,12,3,true,9.614
4,8,0,true,5.328
4,8,1,true,4.948
4,8,2,true,5.986
4,8,3,true,8.180
2,2,0,false,2.600
2,2,1,false,2.891
2,2,2,false,2.957
2,2,3,false,2.975
6,11,0,false,6.010
6,11,1,false,5.902
6,11,2,false,7.232
6,11,3,false,8.183
4,7,0,false,4.491
4,7,1,false,4.648
4,7,2,false,5.463
4,7,3,false,6.579
5,9,0,false,5.627
5,9,1,false,5.708
5,9,2,false,6.306
5,9,3,false,7.193
14,10,0,true,4.970
14,10,1,true,4.595
14,10,2,true,6.275
14,10,3,true,6.495
13,3,0,false,3.638
13,3,1,false,3.856
13,3,2,false,3.956
13,3,3,false,3.710
14,9,0,true,4.585
14,9,1,true,4.884
14,9,2,true,5.739
14,9,3,true,6.436
12,3,0,false,3.570
12,3,1,false,3.579
12,3,2,false,4.234
12,3,3,false,4.935
10,3,0,true,3.444
10,3,1,true,3.476
10,3,2,true,4.191
10,3,3,true,4.434
15,16,0,false,3606.513
15,16,1,false,13.544
15,16,2,false,14.486
15,16,3,false,2404.624
12,4,0,false,3.674
12,4,1,false,3.773
12,4,2,false,4.159
12,4,3,false,4.424
